,Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%),Earnings Date
2,ADC,Agree Realty Corp,TAS,0.37,0.37,,2019-02-21
5,ADES,Advanced Emissions Solutions Inc,TAS,0.37,0.36,-2.7,2019-03-19
3,ADI,Analog Devices Inc,TAS,1.28,1.33,3.91,2019-02-20
5,ADM,Archer Daniels Midland Co,TAS,0.92,0.88,-4.35,2019-02-05
15,ADMA,ADMA Biologics Inc,Time Not Supplied,-0.35,-0.39,-11.43,2019-03-07
5,ADMA,ADMA Biologics Inc,Time Not Supplied,-0.35,-0.39,-11.43,2019-03-13
2,ADMP,Adamis Pharmaceuticals Corp,TAS,-0.19,-0.28,-47.37,2019-03-15
3,ADMS,Adamas Pharmaceuticals Inc,TAS,-1.34,-1.06,20.9,2019-03-04
0,ADNT,Adient PLC,TAS,0.38,0.31,-18.42,2019-02-07
13,ADP,Automatic Data Processing Inc,TAS,1.18,1.34,13.56,2019-01-30
7,ADS,Alliance Data Systems Corp,TAS,6.94,7.04,1.44,2019-02-07
29,ADSK,Autodesk Inc,TAS,0.42,0.46,9.52,2019-02-28
23,ADSW,Advanced Disposal Services Inc,TAS,0.13,0.13,,2019-02-21
10,ADT,ADT Inc,After Market Close,0.12,0.13,8.33,2019-03-11
5,ADTN,ADTRAN Inc,TAS,-0.03,-0.12,-300.0,2019-01-23
2,ADUS,Addus Homecare Corp,After Market Close,0.51,0.55,7.84,2019-03-04
2,ADVM,Adverum Biotechnologies Inc,TAS,-0.29,-0.25,13.79,2019-03-06
2,ADXS,Advaxis Inc,After Market Close,-2.2,-4.35,-97.73,2019-01-10
6,ADXS,Advaxis Inc,TAS,-3.75,-0.88,76.53,2019-03-12
8,AEE,Ameren Corp,TAS,0.32,0.28,-12.5,2019-02-14
6,AEGG,American Energy Group Ltd,Time Not Supplied,,,,2019-02-19
4,AEGN,Aegion Corp,TAS,0.26,0.27,3.85,2019-02-27
0,AEHR,AEHR Test Systems,TAS,-0.02,-0.02,,2019-01-10
4,AEIS,Advanced Energy Industries Inc,TAS,0.76,0.73,-3.95,2019-02-04
11,AEL,American Equity Investment Life Holding Co,TAS,0.9,0.99,10.0,2019-02-06
2,AEMD,Aethlon Medical Inc,TAS,-1.05,-1.65,-57.14,2019-02-11
4,AEO,American Eagle Outfitters Inc,TAS,0.42,0.43,2.38,2019-03-06
4,AEP,American Electric Power Company Inc,TAS,0.71,0.72,1.41,2019-01-24
16,AER,AerCap Holdings NV,TAS,1.65,1.62,-1.82,2019-02-14
5,AERI,Aerie Pharmaceuticals Inc,TAS,-0.87,-0.92,-5.75,2019-02-25
3,AERO,AeroGrow International Inc,TAS,,,,2019-02-11
2,AES,AES Corp,TAS,0.32,0.36,12.5,2019-02-27
1,AET,Aetna Inc,TAS,,,,2019-01-28
9,AEY,ADDvantage Technologies Group Inc,TAS,,,,2019-02-12
3,AEYE,AudioEye Inc,TAS,-0.11,-0.19,-72.73,2019-01-22
3,AEYE,AudioEye Inc,TAS,-0.11,-0.19,-72.73,2019-03-27
1,AFB,Alliancebernstein National Municipal Income Fund Inc,Time Not Supplied,,,,2019-03-29
12,AFG,American Financial Group Inc,TAS,1.93,1.75,-9.33,2019-01-30
5,AFH,Atlas Financial Holdings Inc,TAS,0.47,-4.36,-1027.66,2019-03-04
6,AFI,Armstrong Flooring Inc,TAS,-0.22,-0.35,-59.09,2019-03-05
3,AFIN,American Finance Trust Inc,TAS,-0.06,-0.02,66.67,2019-03-06
4,AFL,Aflac Inc,TAS,0.94,1.02,8.51,2019-01-31
0,AFMD,Affimed NV,TAS,-0.18,0.16,188.89,2019-03-27
10,AFOM,All for One Media Corp,Time Not Supplied,,,,2019-02-14
0,AFSI,AmTrust Financial Services Inc,Time Not Supplied,,,,2019-03-14
21,AGCO,AGCO Corp,TAS,1.22,1.31,7.38,2019-02-05
15,AGEN,Agenus Inc,TAS,-0.27,-0.4,-48.15,2019-03-14
11,AGFS,AgroFresh Solutions Inc,TAS,0.21,0.01,-95.24,2019-03-11
11,AGHC,Aeon Global Health Corp,Time Not Supplied,0.04,-0.04,-200.0,2019-02-14
0,AGIO,Agios Pharmaceuticals Inc,TAS,-1.67,-1.58,5.39,2019-02-14
18,AGLE,Aeglea Bio Therapeutics Inc,TAS,-0.37,-0.62,-67.57,2019-03-07
2,AGN,Allergan plc,TAS,4.15,4.29,3.37,2019-01-29
15,AGNC,AGNC Investment Corp,TAS,0.59,0.53,-10.17,2019-01-30
19,AGO,Assured Guaranty Ltd,TAS,0.76,0.87,14.47,2019-02-28
11,AGR,Avangrid Inc,TAS,0.61,0.56,-8.2,2019-02-19
16,AGRO,Adecoagro SA,After Market Close,0.2,-0.31,-255.0,2019-03-14
67,AGS,PlayAGS Inc,TAS,-0.01,-0.29,-2800.0,2019-03-05
72,AGS,PlayAGS Inc,After Market Close,-0.01,-0.29,-2800.0,2019-03-05
16,AGTC,Applied Genetic Technologies Corp,TAS,-0.68,-0.23,66.18,2019-02-07
8,AGYS,Agilysys Inc,TAS,-0.1,-0.11,-10.0,2019-01-24
2,AHC,A. H. Belo Corp,Before Market Open,,,,2019-03-08
3,AHC,A. H. Belo Corp,TAS,,,,2019-03-08
4,AHH,Armada Hoffler Properties Inc,TAS,0.14,0.07,-50.0,2019-02-07
3,AHIX,ALUF Holdings Inc,Time Not Supplied,,,,2019-03-21
16,AHL,Aspen Insurance Holdings Ltd,TAS,-1.03,-2.23,-116.5,2019-02-06
27,AHT,Ashford Hospitality Trust Inc,After Market Close,-0.48,-0.66,-37.5,2019-02-28
7,AI,Arlington Asset Investment Corp,TAS,0.18,0.17,-5.56,2019-02-19
4,AIG,American International Group Inc,After Market Close,0.42,-0.63,-250.0,2019-02-06
11,AIMC,Altra Industrial Motion Corp,TAS,0.71,0.65,-8.45,2019-02-21
26,AIMT,Aimmune Therapeutics Inc,TAS,-0.91,-0.95,-4.4,2019-02-28
10,AIN,Albany International Corp,TAS,0.74,0.74,,2019-02-11
2,AINC,Ashford Inc,TAS,1.15,2.2,91.3,2019-03-01
2,AINV,Apollo Investment Corp,TAS,0.46,0.45,-2.17,2019-02-06
1,AIR,AAR Corp,TAS,0.7,0.79,12.86,2019-03-19
12,AIRG,Airgain Inc,TAS,0.07,0.17,142.86,2019-02-14
15,AIRG,Airgain Inc,After Market Close,0.07,0.17,142.86,2019-02-14
0,AIRI,Air Industries Group,TAS,-0.04,-0.09,-125.0,2019-03-26
22,AIRT,Air T Inc,Time Not Supplied,,,,2019-02-14
15,AIT,Applied Industrial Technologies Inc,TAS,1.06,0.99,-6.6,2019-01-24
5,AIV,Apartment Investment and Management Co,TAS,0.04,0.03,-25.0,2019-02-04
11,AIZ,Assurant Inc,TAS,0.46,0.77,67.39,2019-02-12
13,AJG,Arthur J Gallagher & Co,TAS,0.52,0.53,1.92,2019-01-31
5,AJX,Great Ajax Corp,TAS,0.39,0.34,-12.82,2019-03-05
10,AKAM,Akamai Technologies Inc,TAS,1.0,1.07,7.0,2019-02-12
3,AKAOQ,Achaogen Inc,TAS,-0.7,-1.01,-44.29,2019-03-28
0,AKBA,Akebia Therapeutics Inc,TAS,-0.24,-0.23,4.17,2019-03-18
6,AKCA,Akcea Therapeutics Inc,TAS,-0.73,-0.79,-8.22,2019-02-26
5,AKR,Acadia Realty Trust,TAS,0.13,0.09,-30.77,2019-02-13
23,AKRX,Akorn Inc,TAS,,-0.29,,2019-02-28
0,AKS,AK Steel Holding Corp,TAS,0.11,0.16,45.45,2019-01-28
1,AL,Air Lease Corp,TAS,1.23,1.24,0.81,2019-02-21
4,ALB,Albemarle Corp,TAS,1.47,1.53,4.08,2019-02-20
7,ALBO,Albireo Pharma Inc,TAS,-1.16,-1.34,-15.52,2019-03-07
8,ALCO,Alico Inc,TAS,,,,2019-02-11
1,ALDX,Aldeyra Therapeutics Inc,TAS,-0.45,-0.49,-8.89,2019-03-08
21,ALE,ALLETE Inc,TAS,1.13,1.07,-5.31,2019-02-14
7,ALEX,Alexander & Baldwin Inc,TAS,0.3,-1.9,-733.33,2019-02-27
4,ALG,Alamo Group Inc,TAS,1.3,1.38,6.15,2019-03-01
19,ALGN,Align Technology Inc,TAS,1.15,1.2,4.35,2019-01-29
11,ALGT,Allegiant Travel Co,TAS,2.47,2.56,3.64,2019-01-30
1,ALIM,Alimera Sciences Inc,After Market Close,-0.45,-0.3,33.33,2019-02-18
1,ALJJ,ALJ Regional Holdings Inc,TAS,,,,2019-01-10
2,ALK,Alaska Air Group Inc,After Market Close,0.71,0.75,5.63,2019-01-24
5,ALKS,Alkermes Plc,TAS,-0.04,0.34,950.0,2019-02-14
15,ALL,Allstate Corp,TAS,1.09,1.24,13.76,2019-02-05
2,ALLE,Allegion PLC,TAS,1.22,1.22,,2019-02-19
13,ALLK,Allakos Inc,Time Not Supplied,-0.31,-0.35,-12.9,2019-03-14
4,ALLO,Allogene Therapeutics Inc,TAS,-0.26,-0.37,-42.31,2019-03-08
14,ALLT,Allot Ltd,Before Market Open,-0.03,-0.01,66.67,2019-02-05
9,ALLY,Ally Financial Inc,TAS,0.83,0.92,10.84,2019-01-30
0,ALMC,Alimco Financial Corp,Time Not Supplied,,,,2019-01-22
16,ALNA,Allena Pharmaceuticals Inc,Time Not Supplied,-0.5,-0.46,8.0,2019-03-07
19,ALNY,Alnylam Pharmaceuticals Inc,TAS,-2.21,-2.09,5.43,2019-02-07
10,ALOT,AstroNova Inc,TAS,0.15,0.33,120.0,2019-03-14
3,ALPN,Alpine Immune Sciences Inc,Time Not Supplied,-0.8,-0.8,,2019-02-15
10,ALPN,Alpine Immune Sciences Inc,Time Not Supplied,-0.8,-0.8,,2019-03-18
12,ALRM,Alarm.com Holdings Inc,TAS,0.24,0.29,20.83,2019-02-28
1,ALSK,Alaska Communications Systems Group Inc,TAS,0.01,,,2019-03-06
4,ALSN,Allison Transmission Holdings Inc,TAS,0.98,1.14,16.33,2019-02-25
6,ALT,Altimmune Inc,Before Market Open,-3.6,-2.34,35.0,2019-03-08
13,ALTM,Altus Midstream Co,Time Not Supplied,,,,2019-02-28
22,ALTR,Altair Engineering Inc,TAS,0.1,0.06,-40.0,2019-02-28
10,ALV,Autoliv Inc,TAS,1.75,1.42,-18.86,2019-01-29
5,ALX,Alexander's Inc,TAS,,,,2019-02-11
11,ALXN,Alexion Pharmaceuticals Inc,TAS,1.82,2.14,17.58,2019-02-04
13,AM,Antero Midstream Partners LP,After Market Close,0.15,0.1,-33.33,2019-02-13
16,AM,Antero Midstream Corp,After Market Close,0.15,0.1,-33.33,2019-02-13
0,AMAG,AMAG Pharmaceuticals Inc,TAS,-0.88,-0.6,31.82,2019-01-07
6,AMAG,AMAG Pharmaceuticals Inc,TAS,-0.88,-0.6,31.82,2019-02-07
6,AMAL,Amalgamated Bank,TAS,0.36,0.3,-16.67,2019-01-29
4,AMAT,Applied Materials Inc,TAS,0.79,0.81,2.53,2019-02-14
2,AMBA,Ambarella Inc,TAS,0.04,0.14,250.0,2019-03-05
15,AMBC,Ambac Financial Group Inc,TAS,-0.01,0.24,2500.0,2019-02-28
5,AMBZ,American Business Bank,Time Not Supplied,,,,2019-01-29
9,AMC,AMC Entertainment Holdings Inc,TAS,0.16,0.43,168.75,2019-02-28
21,AMCX,AMC Networks Inc,TAS,1.84,1.92,4.35,2019-02-28
14,AMD,Advanced Micro Devices Inc,TAS,0.08,0.08,,2019-01-29
8,AME,Ametek Inc,Before Market Open,0.84,0.86,2.38,2019-01-30
19,AMED,Amedisys Inc,TAS,0.85,0.91,7.06,2019-02-27
7,AMEH,Apollo Medical Holdings Inc,After Market Close,0.12,-0.08,-166.67,2019-03-18
1,AMEN,AMEN Properties Inc,Time Not Supplied,,,,2019-03-18
7,AMG,Affiliated Managers Group Inc,TAS,3.51,3.53,0.57,2019-02-04
18,AMGN,Amgen Inc,TAS,3.27,3.42,4.59,2019-01-29
0,AMH,American Homes 4 Rent,TAS,0.05,0.06,20.0,2019-02-21
1,AMKR,Amkor Technology Inc,TAS,0.08,0.12,50.0,2019-02-11
3,AMN,AMN Healthcare Services Inc,TAS,0.79,0.81,2.53,2019-02-14
1,AMNB,American National Bankshares Inc,TAS,0.68,0.67,-1.47,2019-01-17
4,AMNF,Armanino Foods Of Distinction Inc,Time Not Supplied,,,,2019-02-08
14,AMOT,Allied Motion Technologies Inc,TAS,0.38,0.28,-26.32,2019-03-14
6,AMP,Ameriprise Financial Inc,TAS,3.58,3.8,6.15,2019-01-30
2,AMPE,Ampio Pharmaceuticals Inc,After Market Close,,,,2019-03-18
0,AMPG,Amplitech Group Inc,Time Not Supplied,,,,2019-03-08
1,AMPG,Amplitech Group Inc,Time Not Supplied,,,,2019-03-21
0,AMPH,Amphastar Pharmaceuticals Inc,TAS,0.11,0.13,18.18,2019-03-12
8,AMPY,Amplify Energy Corp,Time Not Supplied,0.61,1.38,126.23,2019-03-06
9,AMRB,American River Bankshares,TAS,0.23,0.19,-17.39,2019-01-24
6,AMRC,Ameresco Inc,TAS,0.18,0.24,33.33,2019-03-06
1,AMRH,Ameri Holdings Inc,Before Market Open,,,,2019-03-26
11,AMRK,A-Mark Precious Metals Inc,TAS,0.09,0.08,-11.11,2019-02-11
3,AMRN,Amarin Corporation PLC,TAS,-0.07,-0.11,-57.14,2019-02-27
5,AMRS,Amyris Inc,TAS,0.44,-0.66,-250.0,2019-03-18
11,AMRX,Amneal Pharmaceuticals Inc,TAS,0.27,0.33,22.22,2019-02-28
1,AMS,American Shared Hospital Services,TAS,,,,2019-03-28
12,AMSC,American Superconductor Corp,TAS,-0.29,-0.11,62.07,2019-02-05
11,AMSF,Amerisafe Inc,TAS,0.87,1.07,22.99,2019-02-27
1,AMSWA,American Software Inc,TAS,0.04,0.07,75.0,2019-02-20
18,AMT,American Tower Corp,TAS,0.77,0.62,-19.48,2019-02-27
28,AMTB,Mercantil Bank Holding Corp,Time Not Supplied,0.3,0.47,56.67,2019-01-29
4,AMTD,TD Ameritrade Holding Corp,TAS,1.01,1.11,9.9,2019-01-22
4,AMTX,Aemetis Inc,Before Market Open,-0.31,-0.56,-80.65,2019-03-14
1,AMWD,American Woodmark Corp,TAS,1.33,1.4,5.26,2019-02-26
3,AMZN,Amazon.com Inc,TAS,5.68,6.04,6.34,2019-01-31
1,AN,AutoNation Inc,TAS,1.14,1.02,-10.53,2019-02-22
6,ANAT,American National Insurance Co,TAS,,,,2019-02-25
10,ANCB,Anchor Bancorp Inc,Time Not Supplied,,,,2019-01-24
7,ANCX,Access National Corp,After Market Close,0.45,0.41,-8.89,2019-01-31
12,ANDE,Andersons Inc,TAS,0.76,0.84,10.53,2019-02-13
20,ANET,Arista Networks Inc,TAS,2.06,2.25,9.22,2019-02-14
0,ANF,Abercrombie & Fitch Co,TAS,1.15,1.35,17.39,2019-03-06
17,ANGI,ANGI Homeservices Inc,TAS,0.03,0.07,133.33,2019-02-07
0,ANGO,AngioDynamics Inc,TAS,0.21,0.22,4.76,2019-01-04
18,ANH,Anworth Mortgage Asset Corp,TAS,0.11,0.11,,2019-02-14
22,ANIK,Anika Therapeutics Inc,TAS,0.33,0.54,63.64,2019-02-21
5,ANIP,ANI Pharmaceuticals Inc,TAS,1.24,1.32,6.45,2019-02-27
10,ANSS,ANSYS Inc,TAS,1.49,2.13,42.95,2019-02-27
10,ANTM,Anthem Inc,TAS,2.2,2.44,10.91,2019-01-30
4,AOBC,American Outdoor Brands Corp,TAS,0.12,0.16,33.33,2019-03-07
2,AON,Aon PLC,TAS,2.13,2.16,1.41,2019-02-01
4,AOS,A. O. Smith Corp,TAS,0.7,0.74,5.71,2019-01-29
12,AOSL,Alpha and Omega Semiconductor Ltd,TAS,0.29,0.3,3.45,2019-02-06
12,AP,Ampco-Pittsburgh Corp,TAS,-0.55,-0.56,-1.82,2019-03-14
6,APA,Apache Corp,TAS,0.24,0.31,29.17,2019-02-27
3,APAM,Artisan Partners Asset Management Inc,After Market Close,0.61,0.61,,2019-02-04
5,APD,Air Products and Chemicals Inc,TAS,1.87,1.86,-0.53,2019-01-25
11,APDN,Applied DNA Sciences Inc,TAS,-3.2,-4.4,-37.5,2019-02-07
4,APEI,American Public Education Inc,TAS,0.52,0.55,5.77,2019-03-12
8,APEN,Apollo Endosurgery Inc,TAS,-0.37,-0.48,-29.73,2019-03-18
3,APH,Amphenol Corp,TAS,0.98,1.05,7.14,2019-01-23
0,APHB,AmpliPhi Biosciences Corp,TAS,-0.07,-0.15,-114.29,2019-03-25
11,APLE,Apple Hospitality REIT Inc,After Market Close,0.14,0.15,7.14,2019-02-25
6,APO,Apollo Global Management LLC,TAS,-0.82,-1.01,-23.17,2019-01-31
18,APPF,AppFolio Inc,TAS,0.14,0.07,-50.0,2019-02-28
0,APPN,Appian Corp,After Market Close,-0.16,-0.14,12.5,2019-02-22
63,APPS,Digital Turbine Inc,TAS,0.02,0.04,100.0,2019-02-05
15,APRN,Blue Apron Holdings Inc,TAS,-2.5,-1.8,28.0,2019-01-31
0,APT,Alpha Pro Tech Ltd,TAS,,,,2019-03-05
10,APTI,Apptio Inc,After Market Close,,,,2019-02-04
7,APTS,Preferred Apartment Communities Inc,TAS,-0.44,0.06,113.64,2019-02-25
8,APTV,Aptiv PLC,TAS,1.2,1.34,11.67,2019-01-31
1,APTX,Aptinyx Inc,TAS,-0.5,-0.42,16.0,2019-03-20
9,APVO,Aptevo Therapeutics Inc,Time Not Supplied,-0.53,-0.62,-16.98,2019-03-18
4,APY,Apergy Corp,TAS,0.33,0.36,9.09,2019-02-19
7,APYX,Apyx Medical Corp,TAS,-0.1,-0.1,,2019-03-13
10,AQB,AquaBounty Technologies Inc,After Market Close,-0.17,-0.29,-70.59,2019-03-07
4,AQMS,Aqua Metals Inc,TAS,-0.21,-0.36,-71.43,2019-02-28
2,AQST,Aquestive Therapeutics Inc,TAS,-0.51,-0.56,-9.8,2019-03-14
62,AQUA,Evoqua Water Technologies Corp,TAS,0.01,-0.01,-200.0,2019-02-05
8,AR,Antero Resources Corp,TAS,0.04,0.01,-75.0,2019-02-13
5,ARA,American Renal Associates Holdings Inc,TAS,0.08,0.09,12.5,2019-03-08
8,ARAV,Aravive Inc,TAS,-5.76,-1.62,71.88,2019-03-07
6,ARAY,Accuray Inc,TAS,-0.08,-0.05,37.5,2019-01-22
14,ARC,ARC Document Solutions Inc,TAS,,,,2019-02-26
0,ARCB,ArcBest Corp,TAS,0.93,1.01,8.6,2019-01-30
6,ARCC,Ares Capital Corp,TAS,0.41,0.45,9.76,2019-02-12
2,ARCE,Arco Platform Ltd,TAS,0.14,0.2,42.86,2019-03-19
25,ARCH,Arch Coal Inc,TAS,3.4,4.44,30.59,2019-02-14
26,ARCH,Arch Coal Inc,Before Market Open,3.4,4.44,30.59,2019-02-14
6,ARCO,Arcos Dorados Holdings Inc,TAS,0.26,0.09,-65.38,2019-03-27
3,ARCT,Arcturus Therapeutics Ltd,Before Market Open,-0.48,-0.08,83.33,2019-03-18
14,ARCW,ARC Group Worldwide Inc,TAS,,,,2019-02-13
12,ARD,Ardagh Group SA,TAS,0.28,0.33,17.86,2019-02-21
2,ARDMQ,Aradigm Corp,Before Market Open,,,,2019-03-29
4,ARDS,Aridis Pharmaceuticals Inc,Time Not Supplied,-1.55,-0.67,56.77,2019-03-28
2,ARE,Alexandria Real Estate Equities Inc,TAS,0.52,-0.3,-157.69,2019-02-04
24,ARES,Ares Management Corp,TAS,0.31,0.41,32.26,2019-02-14
4,AREX,Approach Resources Inc,TAS,-0.06,-0.07,-16.67,2019-03-18
0,ARGO,Argo Group International Holdings Ltd,TAS,0.08,0.55,587.5,2019-02-11
1,ARI,Apollo Commercial Real Estate Finance Inc,TAS,0.46,0.46,,2019-02-13
8,ARII,American Railcar Industries Inc,Before Market Open,,,,2019-02-21
18,ARKR,Ark Restaurants Corp,TAS,,,,2019-02-12
8,ARLO,Arlo Technologies Inc,TAS,-0.35,-0.33,5.71,2019-02-05
6,ARLP,Alliance Resource Partners LP,TAS,0.75,0.63,-16.0,2019-01-28
13,ARMK,Aramark,TAS,0.61,0.63,3.28,2019-02-05
2,ARMP,Armata Pharmaceuticals Inc,TAS,-0.98,-2.1,-114.29,2019-03-25
8,ARNA,Arena Pharmaceuticals Inc,TAS,-0.76,1.35,277.63,2019-02-26
5,ARNC,Arconic Inc,TAS,0.3,0.33,10.0,2019-02-08
15,AROC,Archrock Inc,TAS,0.08,0.1,25.0,2019-02-19
3,AROW,Arrow Financial Corp,Before Market Open,0.61,0.58,-4.92,2019-01-29
1,ARPO,Aerpio Pharmaceuticals Inc,TAS,-0.22,-0.21,4.55,2019-03-05
13,ARQL,ArQule Inc,TAS,-0.07,-0.08,-14.29,2019-03-07
19,ARR,ARMOUR Residential REIT Inc,TAS,0.62,0.64,3.23,2019-02-14
5,ARRS,ARRIS International plc,TAS,0.74,0.76,2.7,2019-02-21
3,ARTNA,Artesian Resources Corp,After Market Close,,,,2019-03-13
1,ARTW,Art's Way Manufacturing Co Inc,TAS,,,,2019-02-04
2,ARTX,Arotech Corp,TAS,0.03,0.04,33.33,2019-03-07
3,ARVN,Arvinas Inc,Time Not Supplied,-0.61,-0.52,14.75,2019-03-26
3,ARW,Arrow Electronics Inc,TAS,2.55,2.57,0.78,2019-02-07
22,ARWR,Arrowhead Pharmaceuticals Inc,TAS,0.54,0.13,-75.93,2019-02-07
7,ASA,ASA Gold and Precious Metals Ltd,Time Not Supplied,,,,2019-01-28
5,ASA,ASA Gold and Precious Metals Ltd,Time Not Supplied,,,,2019-03-26
5,ASB,Associated Banc-Corp,TAS,0.49,0.5,2.04,2019-01-24
15,ASC,Ardmore Shipping Corp,TAS,-0.24,-0.26,-8.33,2019-02-06
3,ASGN,ASGN Inc,TAS,1.15,1.14,-0.87,2019-02-13
6,ASH,Ashland Global Holdings Inc.,After Market Close,0.12,0.14,16.67,2019-02-05
3,ASIX,AdvanSix Inc,TAS,0.75,0.68,-9.33,2019-02-22
1,ASNA,Ascena Retail Group Inc,TAS,-5.1,-5.2,-1.96,2019-03-14
10,ASNB,AdvanSource Biomaterials Corp,TAS,,,,2019-02-19
4,ASPN,Aspen Aerogels Inc,TAS,-0.08,-0.28,-250.0,2019-02-21
2,ASPS,Altisource Portfolio Solutions SA,Time Not Supplied,0.33,0.59,78.79,2019-02-26
